#*OUTPUT CROSS
#*TABULATE SPIN-DEP CROSS SECTION IN X
#*
#   500.000000     SED
#    10.000000     QQ
#     1.000000     ALR
#     0.030000     X
#     0.005000     TPMIN
#     1.000000     TPMAX
#*
#*COL1 TP
#*COL2  FSIGMA, NEUTRON ACTIVE, IPOL =  1
#*COL3  FSIGMA, NEUTRON ACTIVE, IPOL = -1
#*COL4  ASYM, CALCULATED ASYMETRY
  0.51245 .15633E+00 .14148E+00 .49862E-01
  0.51743 .15154E+00 .13714E+00 .49862E-01
  0.52240 .14693E+00 .13297E+00 .49862E-01
  0.52738 .14250E+00 .12897E+00 .49862E-01
  0.53235 .13825E+00 .12512E+00 .49862E-01
  0.53733 .13416E+00 .12141E+00 .49862E-01
  0.54230 .13022E+00 .11785E+00 .49862E-01
  0.54728 .12644E+00 .11443E+00 .49862E-01
  0.55225 .12280E+00 .11113E+00 .49862E-01
  0.55723 .11929E+00 .10796E+00 .49862E-01
  0.56220 .11591E+00 .10490E+00 .49862E-01
  0.56717 .11266E+00 .10196E+00 .49862E-01
  0.57215 .10953E+00 .99122E-01 .49862E-01
  0.57712 .10650E+00 .96387E-01 .49862E-01
  0.58210 .10359E+00 .93750E-01 .49862E-01
  0.58708 .10078E+00 .91206E-01 .49862E-01
  0.59205 .98068E-01 .88752E-01 .49862E-01
  0.59703 .95451E-01 .86384E-01 .49862E-01
  0.60200 .92924E-01 .84098E-01 .49862E-01
  0.60698 .90485E-01 .81890E-01 .49862E-01
  0.61195 .88128E-01 .79757E-01 .49862E-01
  0.61693 .85851E-01 .77697E-01 .49862E-01
  0.62190 .83651E-01 .75705E-01 .49862E-01
  0.62688 .81524E-01 .73780E-01 .49862E-01
  0.63185 .79467E-01 .71918E-01 .49862E-01
  0.63683 .77477E-01 .70118E-01 .49862E-01
  0.64180 .75553E-01 .68376E-01 .49862E-01
  0.64677 .73690E-01 .66690E-01 .49862E-01
  0.65175 .71887E-01 .65059E-01 .49862E-01
  0.65673 .70142E-01 .63479E-01 .49862E-01
  0.66170 .68452E-01 .61949E-01 .49862E-01
  0.66668 .66814E-01 .60468E-01 .49862E-01
  0.67165 .65228E-01 .59032E-01 .49862E-01
  0.67663 .63691E-01 .57641E-01 .49862E-01
  0.68160 .62201E-01 .56292E-01 .49862E-01
  0.68658 .60756E-01 .54985E-01 .49862E-01
  0.69155 .59355E-01 .53717E-01 .49862E-01
  0.69653 .57996E-01 .52487E-01 .49862E-01
  0.70150 .56678E-01 .51294E-01 .49862E-01
  0.70648 .55399E-01 .50137E-01 .49862E-01
  0.71145 .54157E-01 .49013E-01 .49862E-01
  0.71643 .52952E-01 .47922E-01 .49862E-01
  0.72140 .51782E-01 .46863E-01 .49862E-01
  0.72637 .50645E-01 .45835E-01 .49862E-01
  0.73135 .49541E-01 .44836E-01 .49862E-01
  0.73633 .48469E-01 .43865E-01 .49862E-01
  0.74130 .47427E-01 .42922E-01 .49862E-01
  0.74628 .46414E-01 .42005E-01 .49862E-01
  0.75125 .45429E-01 .41114E-01 .49862E-01
  0.75623 .44472E-01 .40248E-01 .49862E-01
  0.76120 .43541E-01 .39405E-01 .49862E-01
  0.76618 .42636E-01 .38586E-01 .49862E-01
  0.77115 .41755E-01 .37789E-01 .49862E-01
  0.77613 .40898E-01 .37013E-01 .49862E-01
  0.78110 .40064E-01 .36258E-01 .49862E-01
  0.78608 .39252E-01 .35524E-01 .49862E-01
  0.79105 .38462E-01 .34808E-01 .49862E-01
