#*OUTPUT STRUX
#*TABULATE STRUCTURE FUNCTION IN X
#*
#   100.000000     QQ
#*
#*COL1  X
#*COL2  F2, PROTON
#*COL3  F2, NEUTRON
   0.00100 0.122169E+01 0.121645E+01
   0.00119 0.115761E+01 0.115174E+01
   0.00141 0.109681E+01 0.109026E+01
   0.00168 0.104048E+01 0.103317E+01
   0.00200 0.986998E+00 0.978845E+00
   0.00237 0.937350E+00 0.928310E+00
   0.00282 0.890243E+00 0.880222E+00
   0.00335 0.846305E+00 0.835237E+00
   0.00398 0.805032E+00 0.792831E+00
   0.00473 0.766098E+00 0.752673E+00
   0.00562 0.729682E+00 0.714975E+00
   0.00668 0.695143E+00 0.679031E+00
   0.00794 0.662990E+00 0.645481E+00
   0.00944 0.632491E+00 0.613466E+00
   0.01122 0.603958E+00 0.583399E+00
   0.01334 0.577054E+00 0.554895E+00
   0.01585 0.552097E+00 0.528330E+00
   0.01884 0.528569E+00 0.503114E+00
   0.02239 0.507059E+00 0.479877E+00
   0.02661 0.486950E+00 0.457943E+00
   0.03162 0.468323E+00 0.437298E+00
   0.03758 0.451865E+00 0.418567E+00
   0.04467 0.435752E+00 0.399901E+00
   0.05309 0.422218E+00 0.383195E+00
   0.06310 0.409295E+00 0.366504E+00
   0.07499 0.397512E+00 0.350066E+00
   0.08913 0.385971E+00 0.332912E+00
   0.10593 0.374043E+00 0.314412E+00
   0.12589 0.360782E+00 0.293849E+00
   0.14962 0.345314E+00 0.270594E+00
   0.17783 0.326304E+00 0.244078E+00
   0.21135 0.302330E+00 0.214123E+00
   0.25119 0.272570E+00 0.181358E+00
   0.29854 0.236298E+00 0.146579E+00
   0.35481 0.193654E+00 0.111578E+00
   0.42170 0.143715E+00 0.785203E-01
   0.50119 0.944058E-01 0.475530E-01
   0.59566 0.497764E-01 0.227778E-01
   0.70795 0.173933E-01 0.703434E-02
   0.84140 0.218169E-02 0.740629E-03
   1.00000 0.000000E+00 0.000000E+00
